interaction_id,customer_id,customer_name,touchpoint,mode,interaction_type,product_id,product_name,category,personalized,recommendation_accepted,engagement_seconds,interaction_date,region
INT-000000,CUST-0464,Melissa Williams DDS,Mobile App,Online,Support Chat,PROD-STA-004,Document Folder,Stationery,False,False,130,2024-12-23,Europe
INT-000001,CUST-0468,Daniel Jones,Mobile App,Online,Search,,,,True,True,122,2024-08-23,Asia Pacific
INT-000002,CUST-0420,Nicole Booker,Email,Online,Wishlist Add,,,,False,False,130,2024-05-09,Europe
INT-000003,CUST-0446,Ryan Garcia,Mobile App,Online,Browse,,,,False,False,114,2024-09-06,North America
INT-000004,CUST-0411,Adam Jones,Mobile App,Online,Browse,PROD-STA-003,Sticky Notes,Stationery,False,False,118,2024-08-18,North America
INT-000005,CUST-0420,Nicole Booker,Web,Online,Recommendation Click,PROD-FUR-005,Desk Lamp,Furniture,False,False,106,2024-04-15,Asia Pacific
INT-000006,CUST-0282,Nicole Douglas,Web,Online,Recommendation Click,,,,False,False,122,2024-09-15,Europe
INT-000007,CUST-0513,Christine Watkins,Web,Online,Wishlist Add,,,,False,False,122,2024-07-25,North America
INT-000008,CUST-0589,Rebecca Scott,Web,Online,Browse,PROD-ELE-005,Portable SSD,Electronics,False,False,111,2024-11-09,North America
INT-000009,CUST-0168,Anna Key,Web,Online,Wishlist Add,,,,False,False,117,2024-04-27,Europe
INT-000010,CUST-0100,Jesus Nguyen,Web,Online,Browse,PROD-FUR-001,Monitor Arm,Furniture,False,False,107,2024-02-29,Europe
INT-000011,CUST-0410,Tyler Spencer,Mobile App,Online,Search,PROD-STA-007,Paper Clips Box,Stationery,True,True,127,2024-10-06,North America
INT-000012,CUST-0581,Michael Reeves,Call Center,Offline,Recommendation Click,PROD-ELE-001,Mechanical Keyboard,Electronics,False,False,119,2024-02-05,North America
INT-000013,CUST-0277,Melissa Hester,Web,Online,Add To Cart,,,,False,False,118,2024-11-09,North America
INT-000014,CUST-0454,Jerome Wilson,Mobile App,Online,Wishlist Add,PROD-STA-001,Ballpoint Pen Pack,Stationery,False,False,114,2024-09-05,North America
INT-000015,CUST-0062,Anthony Martinez,Mobile App,Online,Browse,PROD-STA-002,Highlighter Set,Stationery,False,False,119,2024-05-06,Asia Pacific
INT-000016,CUST-0264,Dr. Robert Howard Jr.,Web,Online,Search,PROD-FUR-006,Office Desk,Furniture,False,False,112,2024-07-18,North America
INT-000017,CUST-0312,Traci Flores,Mobile App,Online,Browse,,,,True,False,104,2024-02-13,Asia Pacific
